DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16
35390911,737,-0.9609340479,-0.9063204982,-0.5431474414,-0.1900937462,1,1,2,3
35390912,603,-1.224280642,-1.20098951,-0.1670400661,-0.1777953738,1,1,3,3
35390913,581,-0.5807097628,-0.8835027048,0.145448901,-0.514281756,2,1,4,2
35390914,918,1.782068125,2.025236161,-0.3928370659,1.720377013,5,5,2,5
35390915,825,-0.6804367798,-0.01025195973,-0.5998757612,0.1549762452,2,3,2,4
35390916,894,-0.3331604637,0.1985723817,0.1493894135,0.369361952,3,4,4,4
35390917,926,-0.9936185461,0.5453797175,0.1902411317,0.3193303018,1,4,4,4
35390918,1106,-0.9783065962,0.3020336939,0.01918213061,0.1893645049,1,4,3,4
35390919,403,-0.385279864,1.317041371,-0.9039177388,3.639164336,3,5,1,5
35390920,383,1.236637196,2.901370356,-0.8461631318,1.800839757,5,5,1,5
35390921,1088,-0.5483464332,0.617498008,-0.5096887321,0.6492081188,2,4,2,4
35390922,645,2.049632725,2.055127928,1.111757408,1.074895521,5,5,5,5
35390923,1005,-1.047778846,-0.910917607,0.314064197,-0.04769208885,1,1,4,4
35390924,1184,1.441304008,-0.5652268379,1.888729365,0.2992892194,5,2,5,4
35390925,938,-1.240775003,-1.219498432,-1.074438674,1.692111352,1,1,1,5
35390926,905,-0.9366538111,-0.2695643163,-0.8987889277,1.268790759,1,3,1,5
35390927,2421,-0.742705896,-0.5517323834,-0.5528663241,0.3609191087,2,2,2,4
35390928,2024,2.412269956,2.479381301,-0.4514493627,2.115107592,5,5,2,5
35390929,1132,1.292072177,3.321612141,-1.110551775,1.704263217,5,5,1,5
35390930,401,-0.09841610183,-0.2322696159,-0.8836920607,-0.01874108145,3,3,1,4
35390931,441,-0.4861476776,-0.4161073896,-1.161390581,1.201398562,2,3,1,5
35390932,475,-0.9029188698,-0.9482024723,0.3477396177,-0.6528634684,1,1,4,2
35390933,647,-0.7754445767,-0.3635927354,-0.3017487442,0.1523077239,2,3,3,4
35390934,748,-0.3928910748,-0.7693522312,-0.5196475653,-0.1742152707,3,2,2,3
35390935,379,-0.6700759602,-1.211497864,0.7322883501,-0.5433256851,2,1,5,2
35390936,683,-0.7684675066,-1.265016868,1.472901738,-0.4785318257,2,1,5,3
35390937,620,-1.021194043,-1.269793892,-0.5182352737,-0.3484797227,1,1,2,3
35390938,2223,-0.4633804376,-1.444620053,1.388216443,-0.3817852034,3,1,5,3
35390939,1104,-0.7684694857,-1.102681132,-0.5800670065,0.09311205413,2,1,2,4
35390940,648,0.8115650318,-1.081514373,4.250401836,-1.274531004,5,1,5,1
35390941,403,-0.1937632873,-0.9785690516,2.78413321,-0.5414151634,3,1,5,2
35390942,2170,-0.2584503433,-1.160174518,-0.7597334175,0.6534521662,3,1,1,4
35390943,2070,-0.3151228398,-0.235834287,-1.129432367,1.464733231,3,3,1,5
35390944,586,0.202518116,-0.3261575495,1.643694938,0.3049973969,4,3,5,4
35390945,542,-0.2085524159,-0.1523974097,-0.4672913839,0.870746634,3,3,2,5
35390946,2505,2.671546987,0.08486664186,0.3352627349,1.802961567,5,4,4,5
35390947,739,2.556765308,1.682927029,-0.4420444667,2.522094658,5,5,2,5
35390948,548,1.840947052,-0.1445942403,-0.02495349579,0.2277272187,5,3,3,4
35390949,1389,-0.6883160415,-0.8316604681,-0.01498586165,0.07323039571,2,1,3,4
35390950,313,-0.672575995,-1.302801216,0.6950382771,-0.8567383457,2,1,5,1
35390951,1203,-0.5601166347,-0.6433519758,-1.57947437,0.3317063103,2,2,1,4
35390952,484,-0.8377084937,-1.103403072,-1.007419268,0.8069949184,1,1,1,5
35390953,836,-0.9717397432,-0.5811585771,-0.9065730346,0.8228250021,1,2,1,5
35390954,1319,-0.4428271515,-0.8983712585,-0.8241278998,0.8073441512,3,1,1,5
35390955,384,2.27630342,1.434777518,-0.977453033,1.239020703,5,5,1,5
35390956,464,-0.6524641405,-0.4653328579,-0.06812430741,-1.110495707,2,2,3,1
35390957,5,-0.5735211357,-0.5554041888,0.1192080156,-0.9140127701,2,2,4,1
35390958,32,-0.5735211357,-0.5554041888,0.1192080156,-0.9140127701,2,2,4,1
35390961,,,,,,,,,
35400104,394,-0.7587342923,0.6816840404,-0.1234832007,-0.2611706611,2,5,3,3
35400105,463,-2.265815861,1.704361703,-1.176745835,0.02953267913,1,5,1,4
35400106,462,-1.165322282,0.6841311154,-0.1769887116,-1.020455738,1,5,3,1
35400107,495,-0.9763119654,0.2963669476,0.4152493313,-0.7829614864,1,4,4,2
35400108,447,-1.230516483,0.05242956617,-0.4038632845,-0.7062365283,1,4,2,2
35400109,550,-1.2701852,0.5628387566,-0.584446877,-0.666777291,1,4,2,2
35400110,460,-0.455803527,0.1528627278,0.1120435285,-0.3706219204,3,4,4,3
35400111,602,-0.7780184206,-0.01155729574,-0.0870214608,-0.6440118271,1,3,3,2
35400112,543,-1.44192475,0.7888947433,-0.5266733151,-0.5975449042,1,5,2,2
35400113,540,-0.773044364,0.1956664168,-0.4113387379,-0.9928731982,2,4,2,1
35400114,536,-1.098683767,0.7774369461,0.0880730553,-0.5035364133,1,5,4,2
35400115,615,-0.5644279648,-0.5697686944,0.119993477,-0.342192534,2,2,4,3
35400116,429,-0.03321834527,0.4079302086,0.9088908422,-0.8170449053,4,4,5,1
35400117,605,0.4752664509,0.8799118557,1.155912657,-1.098067591,4,5,5,1
