DAUID,year,instability,deprivation,dependency,ethnic_concentration,omi_composite,patient_volume,source
35010155,2018,-0.22701795087999999,-0.05479507983399999,0.2166402669,-1.2867614086,-0.33798354310350004,0.0,synthetic
35010156,2018,-0.15857743904359997,-0.006290286137999999,0.52050305792,-1.2153728878,-0.21493438876540003,0.0,synthetic
35010157,2018,-0.461726003448,-0.203836604542,-0.15547830127,-1.1652207252,-0.496565408615,0.0,synthetic
35010158,2018,-0.38409990416,0.50188112292,0.15334407792000002,-1.13669425718,-0.21639224012500002,0.0,synthetic
35010159,2018,-0.57827401202,-0.017048353938,0.5495634672,-0.9568299106,-0.2506472023395,0.0,synthetic
35010160,2018,-0.4830009869,-0.28009307924,0.09680345761400003,-0.8539442721,-0.3800587201565,0.0,synthetic
35010161,2018,-0.57665029142,0.0523002102736,0.35707189708,-1.08951745702,-0.31419891027159996,0.0,synthetic
35010162,2018,0.08676723313800001,0.002212280639999953,1.6849072612,-0.9585863599200001,0.2038251037645,0.0,synthetic
35010163,2018,-0.33000568958,-0.3591022329,0.37829741586,-1.145796846,-0.364151838155,0.0,synthetic
35010164,2018,-0.7544232947,-0.43928058022000005,0.4442729268079999,-1.27854471,-0.506993914528,1.0,synthetic
35010165,2018,-0.34653700668,-0.12317631817199999,0.33396995536,-1.03306613402,-0.292202375878,0.0,synthetic
35010166,2018,-0.75647086256,-0.27455741866,0.164296500768,-0.8791160817,-0.436461965538,0.0,synthetic
35010167,2018,-0.71571875626,-0.23124751772000002,0.40439761046,-1.0519372974,-0.39862649023,0.0,synthetic
35010168,2018,-0.87268946494,-0.76844751834,-0.32226988584,-0.61901153996,-0.6456046022699999,0.0,synthetic
35010169,2018,-0.64096945742,-0.60462247166,-0.34258581986000003,-0.65051688868,-0.559673659405,0.0,synthetic
35010170,2018,-0.67954393654,-0.46356451486,-0.03006563574799999,-0.78298689978,-0.48904024673200003,0.0,synthetic
35010171,2018,-0.66796772604,-0.13175298278,0.4397204994,-0.8711180580000001,-0.307779566855,0.0,synthetic
35010172,2018,-0.60555100302,-0.46549733644,-0.24837888326000002,-0.6767892990400001,-0.49905413044,0.0,synthetic
35010173,2018,-0.37378417494,-1.0176384182,0.58612932174,-1.0377170227199999,-0.46075257353,0.0,synthetic
35010174,2018,,,,,,0.0,synthetic
35010175,2018,,,,,,0.0,synthetic
35010176,2018,,,,,,0.0,synthetic
35010177,2018,,,,,,0.0,synthetic
35010178,2018,,,,,,0.0,synthetic
35010179,2018,-0.57424677202,-1.2284392256,0.37431388574,-0.57308138144,-0.5003633733299999,0.0,synthetic
35010180,2018,0.2671468866,-0.12281441360400001,1.2609293525999998,-0.28722452188,0.27950932592899996,0.0,synthetic
35010181,2018,-0.5674574882200001,0.38105196948000003,0.14040131245999998,-0.36162455636,-0.10190719066000002,0.0,synthetic
35010182,2018,-0.62672130992,-0.08612391299999997,1.5923923340000001,-0.8240556072599999,0.013872875955000058,0.0,synthetic
35010183,2018,-0.42065552808,2.6148236022,-0.6696111341000001,1.14120382292,0.6664401907349999,0.0,synthetic
35010184,2018,-0.27272536476,-0.7328639379999999,1.4266186988,-1.080147974,-0.16477964448999993,0.0,synthetic
35010185,2018,1.10433129,0.95425155966,2.2764301118,-0.42049829702,0.9786286661100001,0.0,synthetic
35010186,2018,0.41624276334,0.4331548349,0.87411209638,-0.688485402,0.258756073155,0.0,synthetic
35010187,2018,1.2034328476,1.6413550929999998,0.9031682028,-0.64534158528,0.77565363953,0.0,synthetic
35010188,2018,0.26278586058,1.7150860552,0.56146337452,-0.81138816364,0.431986781665,0.0,synthetic
35010189,2018,-0.29712734702,-0.68044843382,0.31071383648,-0.88295536574,-0.387454327525,0.0,synthetic
35010190,2018,0.34217904758,1.5529844071999999,0.45518741483999997,-0.250436913928,0.5249784889229999,0.0,synthetic
35010191,2018,1.02246298588,1.4258771236,0.37935660717999997,-0.6023817321,0.55632874614,0.0,synthetic
35010192,2018,0.73946658442,0.74279342358,0.005664001539999998,-0.29779518027600005,0.29753220731599994,0.0,synthetic
35010193,2018,1.4558143721999999,2.8896026733999998,0.30364774718,-0.5110950732799999,1.034492429875,0.0,synthetic
35010194,2018,1.2654458288,4.2422925842,0.02192746395999999,-0.58333207048,1.23658345162,0.0,synthetic
35010195,2018,1.2708291785999999,4.671116481,-0.40213882032,-0.6185516977600001,1.23031378538,0.0,synthetic
35010196,2018,1.3566611616000002,4.849832252200001,0.016105893339999983,-0.0384771891,1.54603052951,0.0,synthetic
35010197,2018,1.377261703,2.835528875,-0.44877171734,-0.57109491424,0.7982309866049999,0.0,synthetic
35010198,2018,2.1401095236,2.6546493,3.1191795686,-1.00752953778,1.726602213605,0.0,synthetic
35010199,2018,1.7022391072,3.8538540026,-0.53574799102,-0.25647097712,1.190968535415,0.0,synthetic
35010200,2018,1.290557171,2.2797956204,0.27134040936,-0.49387470394700006,0.8369546242032498,0.0,synthetic
35010201,2018,,,,,,0.0,synthetic
35010202,2018,1.4096352624,2.579490975,1.1784425468,-0.55291082824,1.15366448899,0.0,synthetic
35010203,2018,1.3886574928,1.9680372886000002,0.9046152723,-0.4856804587,0.94390739875,0.0,synthetic
35010204,2018,1.8849544727999998,1.5103370626000001,2.7198248864,-0.69610238134,1.354753510115,0.0,synthetic
35010205,2018,1.390623129,1.36313240032,0.24651975941999998,-0.7073368313599999,0.573234614345,0.0,synthetic
35010206,2018,0.770993551,0.32448638448,0.7888577439,-0.7361164971999999,0.287055295545,0.0,synthetic
35010207,2018,-0.19368417046,0.75993411576,0.28761750863999996,-0.78628930702,0.016894536729999993,0.0,synthetic
35010208,2018,0.64555956228,1.4611677288,0.6274400410400001,-0.46195165687999995,0.56805391881,0.0,synthetic
35010209,2018,0.97290009652,1.569949679,-0.3677133116,-0.90853582828,0.3166501589100001,0.0,synthetic
35010210,2018,2.077632455,2.0638006968,1.6153456769999999,-1.04283277156,1.1784865143099998,0.0,synthetic
35010211,2018,0.60930323604,1.4495034384,-0.201605479768,-0.81623847148,0.260240680798,0.0,synthetic
35010212,2018,1.1945883378,2.0718296356,0.32275569262,-0.8271547457,0.6905047300799999,0.0,synthetic
35010213,2018,-0.073975276102,1.9663537544,0.358415938,-0.97483858952,0.3189889566945,0.0,synthetic
35010214,2018,0.2355875188,1.11274231816,0.1415994136,-1.0488561318,0.11026827969000003,0.0,synthetic
35010215,2018,-0.0521752239928,1.3884697482,1.2560415946399999,-0.30973269088,0.5706508569918001,0.0,synthetic
35010216,2018,0.16525312598,-0.11524645540400001,1.2867667528,-0.81411707986,0.130664085879,0.0,synthetic
35010217,2018,0.25476827490000004,0.9005633898,0.20403521261999996,-0.25970019412,0.27491667080000004,0.0,synthetic
35010218,2018,0.26734835308,1.5319905848,-0.098070357164,-0.44049435078000004,0.31519355748399996,1.0,synthetic
35010219,2018,0.56634827682,0.7623160818600001,1.11263268028,-0.78389024372,0.41435169881,0.0,synthetic
35010220,2018,0.032286875134,0.47680007866,0.7819308872199999,-1.1659957708,0.03125551755349998,0.0,synthetic
35010221,2018,0.62181613682,1.06971597212,0.54117099442,-0.59771020844,0.4087482237300001,0.0,synthetic
