DAUID,year,instability,deprivation,dependency,ethnic_concentration,omi_composite,patient_volume,source
35010155,2017,-0.35210359053999996,-0.0008974913119999955,0.222239797,-1.2748822708,-0.351410888913,0.0,synthetic
35010156,2017,-0.2090313349718,-0.029636295534,0.61184361806,-1.1718384134,-0.19966560646144998,0.0,synthetic
35010157,2017,-0.6217922821740001,-0.11568435235600001,-0.11628185476000001,-1.1276433966000001,-0.49535047147250005,0.0,synthetic
35010158,2017,-0.40350125797999997,0.56106875316,0.16113462076,-1.00236230324,-0.17091504682499997,0.0,synthetic
35010159,2017,-0.57714598176,-0.026990153854,0.5343723411,-0.8861558268,-0.23897990532850003,0.0,synthetic
35010160,2017,-0.4900520322,-0.25493680082,0.03151767495200001,-0.8572180396,-0.392672299417,0.0,synthetic
35010161,2017,-0.61101563256,0.027414745964799998,0.25909702794,-0.98979989936,-0.32857593950380004,0.0,synthetic
35010162,2017,0.05055729588400001,0.13171231291999996,1.7697532595999999,-1.0144659979600001,0.2343892176109999,0.0,synthetic
35010163,2017,-0.37022900634,-0.2714302718,0.37747606488,-1.166942471,-0.357781421065,0.0,synthetic
35010164,2017,-0.7276951466,-0.31926900616,0.5592758821539999,-1.243784057,-0.43286808190150006,0.0,synthetic
35010165,2017,-0.44532030084,-0.15664125898599998,0.36195910888,-0.91903591136,-0.28975959057649997,1.0,synthetic
35010166,2017,-0.81153962898,-0.19976702027999999,0.186299458334,-0.9043676212999999,-0.4323437030565,0.0,synthetic
35010167,2017,-0.70207982008,-0.26890032856,0.43239795628,-0.9889526372,-0.38188370739,0.0,synthetic
35010168,2017,-0.85200679012,-0.70162333722,-0.31331805012,-0.54880892288,-0.603939275085,0.0,synthetic
35010169,2017,-0.69138533136,-0.47993339638,-0.29674278338,-0.6673092993399999,-0.533842702615,0.0,synthetic
35010170,2017,-0.68018155402,-0.48744959177999997,-0.065558054974,-0.71323400644,-0.4866058018035,0.0,synthetic
35010171,2017,-0.6969319875200001,-0.13440332214,0.4056620209,-0.8583703206000001,-0.32101090234,0.0,synthetic
35010172,2017,-0.5879204958600001,-0.46224308782,-0.28875179318,-0.71245753042,-0.51284322682,0.0,synthetic
35010173,2017,-0.42702218302,-1.0091963306,0.62018423252,-1.06238329186,-0.46960439324000003,0.0,synthetic
35010174,2017,,,,,,0.0,synthetic
35010175,2017,,,,,,0.0,synthetic
35010176,2017,,,,,,0.0,synthetic
35010177,2017,,,,,,0.0,synthetic
35010178,2017,,,,,,0.0,synthetic
35010179,2017,-0.59040544466,-1.2145609948,0.31365070392,-0.6357878019200001,-0.531775884365,0.0,synthetic
35010180,2017,0.2508616895,-0.07016966377200001,1.2683485617999999,-0.26334534404,0.296423810872,0.0,synthetic
35010181,2017,-0.5592278256600001,0.26607681484,0.22534467038,-0.40168510038000005,-0.11737286020500003,0.0,synthetic
35010182,2017,-0.64456637176,-0.17867987209999997,1.585461739,-0.88198539828,-0.02994247578499995,0.0,synthetic
35010183,2017,-0.37117451574000004,2.5326467466,-0.5485700758000001,1.40605736846,0.7547398808800001,0.0,synthetic
35010184,2017,-0.31095464698,-0.8383087374,1.5287520293999999,-1.005331733,-0.15646077199500003,0.0,synthetic
35010185,2017,1.115741421,0.96665351828,2.2040473784,-0.36548438696,0.9802394826800002,0.0,synthetic
35010186,2017,0.34677331172000003,0.3790205885,0.93671821114,-0.6975733586,0.24123468818999996,0.0,synthetic
